urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center
Wójt Gminy Trzebiel;081108;2;0;43.00;0;0;0;0;0;2;081108;2;Trzebiel;16635;166;5748;35;547;1542;gw;51.520330,14.728265 51.680827,14.945320;51.6005785,14.8367925
Wójt Gminy Żary;081110;2;1;50.00;0;0;0;0;0;2;081110;2;Żary;29362;294;12374;42;105;667;gw;51.545285,14.946370 51.784215,15.271967;51.66475,15.1091685
Burmistrz Sławy;081201;2;0;54.00;0;0;0;0;0;2;081201;3;Sława;32700;327;12729;39;70;644;gmw;51.758335,15.825270 51.996827,16.201616;51.877581,16.013443
Burmistrz Miasta i Gminy Szlichtyngowa;081202;2;2;52.00;0;1;0;0;0;1;081202;3;Szlichtyngowa;9974;100;5039;51;1399;1716;gmw;51.663415,16.139954 51.798973,16.369315;51.731194,16.2546345
Wójt Gminy Brody;081103;2;0;42.00;0;0;0;0;0;2;081103;2;Brody;24067;241;3409;14;202;2116;gw;51.654528,14.649871 51.881686,14.917290;51.768107,14.7835805
Burmistrz Łęknicy;081101;3;0;48.00;0;0;1;0;0;2;081101;1;Łęknica;1643;16;2500;152;2263;2246;gm;51.517644,14.711243 51.576920,14.801305;51.547282,14.756274
Burmistrz Miasta Żary;081102;4;1;53.50;0;1;1;1;0;1;081102;1;Żary;3349;33;37907;1132;2142;139;gm;51.584803,15.082863 51.664376,15.208076;51.6245895,15.1454695
Burmistrz Aleksandrowa Łódzkiego;102004;3;1;52.00;0;1;0;0;0;2;102004;3;Aleksandrów Łódzki;11643;116;31445;270;1111;178;gmw;51.771218,19.138557 51.884128,19.357273;51.827673,19.247915
Wójt Gminy Ozorków;102006;2;1;46.00;0;1;0;0;0;1;102006;2;Ozorków;9551;96;6944;73;1464;1291;gw;51.934543,19.172733 52.036402,19.416995;51.9854725,19.294864
Wójt Gminy Zgierz;102009;2;1;61.00;0;1;0;0;0;1;102009;2;Zgierz;19905;199;13972;70;348;564;gw;51.848681,19.234724 52.022572,19.537808;51.9356265,19.386266
Burmistrz Strykowa;102008;4;1;50.25;0;1;0;0;0;3;102008;3;Stryków;15790;158;12565;80;618;656;gmw;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305
Wójt Gminy Dmosin;102103;1;1;62.00;1;0;0;0;0;0;102103;2;Dmosin;10019;100;4476;45;1388;1860;gw;51.833342,19.675740 51.951981,19.873834;51.8926615,19.774787
Burmistrz Miasta Brzeziny;102101;6;1;52.00;0;1;0;0;0;5;102101;1;Brzeziny;2158;22;12534;581;2219;659;gm;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345
Wójt Gminy Brzeziny;102102;1;1;59.00;0;0;0;0;0;1;102102;2;Brzeziny;10664;107;5672;53;1280;1556;gw;51.738004,19.644609 51.897372,19.834902;51.817688,19.7397555
Wójt Gminy Rogów;102105;1;0;39.00;0;0;0;0;0;1;102105;2;Rogów;6606;66;4765;72;1894;1792;gw;51.770489,19.787952 51.895229,19.949799;51.832859,19.8688755
Wójt Gminy Jeżów;102104;3;1;46.67;1;1;0;0;0;1;102104;2;Jeżów;6409;64;3437;54;1915;2111;gw;51.729479,19.875471 51.850970,20.016240;51.7902245,19.9458555
Wójt Gminy Żelechlinek;101611;2;0;50.50;1;1;0;0;0;0;101611;2;Żelechlinek;9235;92;3331;36;1511;2135;gw;51.656535,19.963758 51.773468,20.152717;51.7150015,20.0582375
Wójt Gminy Budziszewice;101603;1;0;52.00;0;0;0;0;0;1;101603;2;Budziszewice;3017;30;2181;72;2166;2269;gw;51.654536,19.912923 51.728151,20.068038;51.6913435,19.9904805
Prezydent Miasta Tomaszowa Mazowieckiego;101601;3;1;48.33;0;0;1;0;0;2;101601;1;Tomaszów Mazowiecki;4130;42;63238;1531;2081;65;gm;51.480162,19.965203 51.561034,20.086696;51.520598,20.0259495
Wójt Gminy Będków;101602;2;0;49.50;0;1;0;0;0;1;101602;2;Będków;5774;57;3331;58;1961;2135;gw;51.530511,19.708049 51.634959,19.841657;51.582735,19.774853
Wójt Gminy Rokiciny;101607;3;0;50.33;0;0;0;0;0;3;101607;2;Rokiciny;9058;91;6173;68;1529;1452;gw;51.591544,19.720808 51.710237,19.882663;51.6508905,19.8017355
Wójt Gminy Inowłódz;101605;1;0;53.00;0;0;0;0;0;1;101605;2;Inowłódz;9783;98;3819;39;1428;2030;gw;51.462369,20.115265 51.589826,20.310442;51.5260975,20.2128535
Wójt Gminy Czerniewice;101604;5;1;54.60;0;0;0;0;0;5;101604;2;Czerniewice;12807;128;5118;40;944;1702;gw;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785
Wójt Gminy Lubochnia;101606;3;0;49.67;0;1;0;0;0;2;101606;2;Lubochnia;13137;131;7162;55;895;1256;gw;51.532370,19.942232 51.662680,20.155724;51.597525,20.048978
Burmistrz Miasta Przedborza;101211;4;2;53.00;0;1;0;0;0;3;101211;3;Przedbórz;18970;190;7262;38;393;1238;gmw;50.962420,19.850733 51.202137,20.056236;51.0822785,19.9534845
Wójt Gminy Rzeczyca;101608;2;0;40.50;0;0;0;0;0;2;101608;2;Rzeczyca;10861;109;4648;43;1249;1821;gw;51.552748,20.197378 51.660047,20.424890;51.6063975,20.311134
Wójt Gminy Żytno;101214;2;0;48.50;0;1;0;0;0;1;101214;2;Żytno;19761;198;5199;26;357;1686;gw;50.843277,19.557725 50.990855,19.848047;50.917066,19.702886
Wójt Gminy Ujazd;101610;1;0;44.00;0;0;0;0;0;1;101610;2;Ujazd;9695;97;7783;80;1433;1143;gw;51.544468,19.822107 51.664441,19.994696;51.6044545,19.9084015
Wójt Gminy Wielgomłyny;101213;3;2;47.00;0;1;0;0;0;2;101213;2;Wielgomłyny;12315;123;4670;38;1008;1813;gw;50.941734,19.680101 51.084379,19.873566;51.0130565,19.7768335
Wójt Gminy Pątnów;101707;4;0;43.50;1;1;0;0;0;2;101707;2;Pątnów;11461;115;6590;57;1134;1361;gw;51.054481,18.537747 51.185235,18.785540;51.119858,18.6616435
Burmistrz Miasta Rawa Mazowiecka;101301;4;1;50.75;0;1;0;0;0;3;101301;1;Rawa Mazowiecka;1428;14;17480;1224;2282;414;gm;51.731809,20.205329 51.784755,20.304748;51.758282,20.2550385
Wójt Gminy Konopnica;101703;3;1;51.00;1;1;0;0;1;0;101703;2;Konopnica;8317;83;3815;46;1653;2032;gw;51.301853,18.705897 51.410696,18.913181;51.3562745,18.809539
Wójt Gminy Cielądz;101303;2;0;36.50;0;0;0;0;0;2;101303;2;Cielądz;9293;93;3981;43;1504;1984;gw;51.632058,20.264582 51.764452,20.442283;51.698255,20.3534325
Wójt Gminy Biała;101701;1;0;60.00;0;0;0;0;0;1;101701;2;Biała;7409;74;5512;74;1790;1602;gw;51.198777,18.356214 51.325475,18.514584;51.262126,18.435399
Burmistrz Białej Rawskiej;101302;4;0;55.00;0;0;0;0;0;4;101302;3;Biała Rawska;20831;208;11427;55;294;747;gmw;51.741141,20.316459 51.892351,20.619456;51.816746,20.4679575
Wójt Gminy Czarnożyły;101702;1;0;64.00;1;0;0;0;0;0;101702;2;Czarnożyły;6967;70;4535;65;1851;1847;gw;51.242736,18.479790 51.336640,18.643856;51.289688,18.561823
Wójt Gminy Regnów;101305;3;0;49.67;1;1;0;0;0;1;101305;2;Regnów;4635;46;1821;39;2050;2281;gw;51.685972,20.320685 51.780738,20.463395;51.733355,20.39204
Wójt Gminy Osjaków;101705;3;2;50.67;1;0;0;0;0;2;101705;2;Osjaków;10109;101;4768;47;1370;1791;gw;51.201087,18.677866 51.325252,18.888492;51.2631695,18.783179
Wójt Gminy Rawa Mazowiecka;101304;2;0;47.00;1;0;0;0;0;1;101304;2;Rawa Mazowiecka;16325;164;8750;54;565;1004;gw;51.700648,20.111504 51.850915,20.349021;51.7757815,20.2302625
Wójt Gminy Mokrsko;101704;2;0;49.00;1;0;0;0;0;1;101704;2;Mokrsko;7768;78;5399;70;1738;1628;gw;51.090712,18.422152 51.216352,18.548250;51.153532,18.485201
Wójt Gminy Sadkowice;101306;1;1;35.00;0;0;0;0;0;1;101306;2;Sadkowice;12108;121;5538;46;1041;1595;gw;51.657167,20.436321 51.761207,20.659258;51.709187,20.5477895
Wójt Gminy Goszczanów;101406;3;1;44.67;0;1;0;0;0;2;101406;2;Goszczanów;12154;122;5516;45;1036;1601;gw;51.724312,18.402742 51.854383,18.613048;51.7893475,18.507895
Burmistrz Błaszek;101402;6;1;40.33;1;1;0;0;0;4;101402;3;Błaszki;20138;201;14658;73;336;527;gmw;51.541561,18.349145 51.741505,18.551363;51.641533,18.450254
Prezydent Miasta Sieradza;101401;4;0;50.75;0;0;1;1;0;2;101401;1;Sieradz;5122;51;42570;831;2010;117;gm;51.562187,18.651831 51.641318,18.824931;51.6017525,18.738381
Wójt Gminy Brzeźnio;101404;2;1;54.00;1;0;0;0;0;1;101404;2;Brzeźnio;12863;129;6362;49;933;1416;gw;51.427314,18.503282 51.567189,18.738339;51.4972515,18.6208105
Wójt Gminy Brąszewice;101403;2;1;39.50;0;0;0;0;0;2;101403;2;Brąszewice;10663;107;4530;42;1281;1850;gw;51.449137,18.358481 51.558003,18.549896;51.50357,18.4541885
Wójt Gminy Kutno;100206;2;1;55.50;0;0;0;0;0;2;100206;2;Kutno;12231;122;8760;72;1021;1002;gw;52.132367,19.201581 52.296666,19.457811;52.2145165,19.329696
Burmistrz Wolborza;101011;1;0;61.00;0;0;0;0;0;1;101011;3;Wolbórz;15166;152;7767;51;658;1146;gmw;51.413335,19.720724 51.578959,19.962156;51.496147,19.84144
Wójt Gminy Krzyżanów;100205;1;0;44.00;0;0;0;0;0;1;100205;2;Krzyżanów;10306;103;4274;41;1339;1919;gw;52.108712,19.351588 52.230516,19.531095;52.169614,19.4413415
Wójt Gminy Ręczno;101007;1;0;50.00;0;0;0;0;0;1;101007;2;Ręczno;8890;89;3554;40;1549;2090;gw;51.107001,19.815918 51.266280,19.923937;51.1866405,19.8699275
Wójt Gminy Łanięta;100207;4;0;48.50;1;1;0;0;0;2;100207;2;Łanięta;5489;55;2450;45;1989;2249;gw;52.283369,19.207129 52.394005,19.328750;52.338687,19.2679395
Wójt Gminy Gorzkowice;101003;3;0;48.33;0;1;0;0;0;2;101003;2;Gorzkowice;10217;102;8541;84;1355;1032;gw;51.148304,19.520998 51.263847,19.700716;51.2060755,19.610857
Wójt Gminy Aleksandrów;101001;2;0;40.50;0;0;0;0;0;2;101001;2;Aleksandrów;14409;144;4352;30;743;1896;gw;51.180163,19.892270 51.358062,20.067431;51.2691125,19.9798505
Wójt Gminy Strzelce;100210;2;0;43.50;0;0;0;0;0;2;100210;2;Strzelce;9009;90;3969;44;1534;1987;gw;52.261936,19.305179 52.351591,19.519894;52.3067635,19.4125365
Wójt Gminy Czarnocin;101002;2;0;54.00;0;0;1;0;0;1;101002;2;Czarnocin;7179;72;4111;57;1824;1951;gw;51.540111,19.594590 51.649544,19.734051;51.5948275,19.6643205
Burmistrz Koluszek;100607;2;0;44.00;0;1;0;0;0;1;100607;3;Koluszki;15720;157;23639;150;620;272;gmw;51.660336,19.669950 51.783146,19.983019;51.721741,19.8264845
Wójt Gminy Oporów;100209;3;1;50.33;1;1;0;0;0;1;100209;2;Oporów;6785;68;2594;38;1874;2236;gw;52.225915,19.439755 52.304886,19.616033;52.2654005,19.527894
Wójt Gminy Łęki Szlacheckie;101005;3;0;47.67;0;1;0;0;0;2;101005;2;Łęki Szlacheckie;10896;109;3514;32;1242;2097;gw;51.137003,19.667364 51.265273,19.852454;51.201138,19.759909
Burmistrz Rzgowa;100610;3;1;45.00;0;1;0;0;0;2;100610;3;Rzgów;6632;66;10183;154;1893;845;gmw;51.617425,19.418932 51.698442,19.600143;51.6579335,19.5095375
Burmistrz Gminy Żychlin;100211;2;0;49.00;0;1;0;0;0;1;100211;3;Żychlin;7664;77;12084;158;1750;686;gmw;52.189453,19.534856 52.278686,19.763976;52.2340695,19.649416
Wójt Gminy Grabica;101004;2;0;47.50;0;0;0;0;0;2;101004;2;Grabica;12762;128;6087;48;951;1471;gw;51.413014,19.411758 51.543852,19.668674;51.478433,19.540216
Burmistrz Miasta Tuszyna;100611;1;0;46.00;0;0;0;0;0;1;100611;3;Tuszyn;12990;130;12332;95;913;669;gmw;51.507711,19.442878 51.645399,19.634155;51.576555,19.5385165
Wójt Gminy Buczek;100301;2;0;60.00;0;1;0;0;0;1;100301;2;Buczek;9221;92;5077;55;1512;1710;gw;51.475401,19.077659 51.567258,19.265952;51.5213295,19.1718055
Wójt Gminy Moszczenica;101006;3;1;51.33;0;1;0;0;0;2;101006;2;Moszczenica;11149;111;12857;115;1194;637;gw;51.442266,19.570581 51.564883,19.776404;51.5035745,19.6734925
Wójt Gminy Białaczów;100701;4;2;48.00;1;1;0;0;0;2;100701;2;Białaczów;11463;115;5820;51;1132;1531;gw;51.236632,20.185538 51.350812,20.414380;51.293722,20.299959
Wójt Gminy Widawa;100304;3;0;43.00;0;1;0;0;0;2;100304;2;Widawa;17831;179;7439;42;464;1208;gw;51.339584,18.803007 51.489124,19.081094;51.414354,18.9420505
Burmistrz Sulejowa;101009;5;0;47.80;0;1;0;0;0;4;101009;3;Sulejów;18823;188;16291;87;402;458;gmw;51.263444,19.696422 51.440385,19.926581;51.3519145,19.8115015
Wójt Gminy Paradyż;100705;3;0;44.00;1;1;0;0;0;1;100705;2;Paradyż;8139;81;4423;54;1686;1878;gw;51.261665,19.982361 51.351020,20.202145;51.3063425,20.092253
Burmistrz Łasku;100302;5;0;51.80;0;1;1;1;0;2;100302;3;Łask;14537;145;27876;192;728;204;gmw;51.546688,19.007974 51.688970,19.273409;51.617829,19.1406915
Wójt Gminy Rozprza;101008;2;0;42.50;0;1;0;0;0;1;101008;2;Rozprza;16308;163;12306;75;568;670;gw;51.234408,19.527039 51.375137,19.838179;51.3047725,19.682609
Wójt Gminy Mniszków;100703;2;0;47.00;0;1;0;0;0;1;100703;2;Mniszków;12416;124;4760;38;993;1794;gw;51.335780,19.854626 51.441481,20.096289;51.3886305,19.9754575
Wójt Gminy Sędziejowice;100303;2;0;46.00;1;1;0;0;0;0;100303;2;Sędziejowice;12004;120;6419;53;1057;1401;gw;51.439931,18.940276 51.582812,19.135035;51.5113715,19.0376555
Wójt Gminy Wola Krzysztoporska;101010;3;2;47.33;0;0;0;0;0;3;101010;2;Wola Krzysztoporska;17075;171;11921;70;510;699;gw;51.259721,19.459858 51.437321,19.673620;51.348521,19.566739
Burmistrz Gminy i Miasta w Drzewicy;100702;4;1;45.75;0;1;0;0;0;3;100702;3;Drzewica;11819;118;10559;89;1080;816;gmw;51.396691,20.318049 51.509786,20.534005;51.4532385,20.426027
Wójt Gminy Wodzierady;100305;2;1;37.50;0;1;0;0;0;1;100305;2;Wodzierady;8230;82;3413;41;1669;2115;gw;51.657050,19.038668 51.778103,19.226088;51.7175765,19.132378
Burmistrz Poddębic;101103;2;1;46.50;1;1;0;0;0;0;101103;3;Poddębice;22454;225;15663;70;246;487;gmw;51.810812,18.736758 51.963409,19.066391;51.8871105,18.9015745
Burmistrz Opoczna;100704;5;1;50.40;0;1;0;0;0;4;100704;3;Opoczno;19064;191;34607;182;389;155;gmw;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064
Wójt Gminy Daszyna;100402;3;0;50.33;0;0;0;0;0;3;100402;2;Daszyna;8091;81;3933;49;1689;1997;gw;52.100522,19.056325 52.206546,19.227254;52.153534,19.1417895
Wójt Gminy Wartkowice;101105;3;0;50.67;1;1;0;0;0;1;101105;2;Wartkowice;14012;140;6260;45;785;1433;gw;51.923927,18.840894 52.025305,19.151716;51.974616,18.996305
Wójt Gminy Sławno;100707;2;1;51.00;0;1;0;0;0;1;100707;2;Sławno;12931;129;7640;59;921;1173;gw;51.327887,20.055240 51.470910,20.227439;51.3993985,20.1413395
Burmistrz Miasta Łęczyca;100401;4;1;53.25;0;1;0;0;0;3;100401;1;Łęczyca;895;9;14252;1592;2323;553;gm;52.037632,19.173715 52.071150,19.224506;52.054391,19.1991105
Wójt Gminy Poświętne;100706;2;0;44.50;0;1;0;0;0;1;100706;2;Poświętne;14081;141;3197;23;778;2158;gw;51.451016,20.245281 51.601230,20.468390;51.526123,20.3568355
Wójt Gminy Piątek;100406;2;1;53.50;0;1;0;0;0;1;100406;2;Piątek;13318;133;6094;46;868;1467;gw;51.996583,19.362212 52.132224,19.562158;52.0644035,19.462185
Wójt Gminy Żarnów;100708;2;0;52.00;0;1;0;0;0;1;100708;2;Żarnów;14106;141;5978;42;772;1497;gw;51.183949,19.992060 51.309703,20.264127;51.246826,20.1280935
Wójt Gminy Grabów;100404;6;1;57.67;0;1;0;0;0;5;100404;2;Grabów;15496;156;6055;39;631;1479;gw;52.073686,18.908263 52.215361,19.115266;52.1445235,19.0117645
Prezydent Miasta Łodzi;106101;9;3;51.67;0;1;0;0;0;8;106101;1;Łódź (a);29325;293;690422;2354;106;3;mm;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095
Wójt Gminy Ostrówek;101706;1;0;58.00;0;0;0;0;0;1;101706;2;Ostrówek;10138;101;4533;45;1365;1848;gw;51.284574,18.513348 51.383625,18.757828;51.3340995,18.635588
Wójt Gminy Skomlin;101708;1;0;51.00;0;0;0;0;0;1;101708;2;Skomlin;5520;55;3354;61;1985;2130;gw;51.114233,18.347486 51.224501,18.450462;51.169367,18.398974
Burmistrz Wielunia;101709;7;0;49.57;1;1;0;0;0;5;101709;3;Wieluń;13064;131;31849;244;903;175;gmw;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102
Wójt Gminy Wierzchlas;101710;2;1;52.00;1;1;0;0;0;0;101710;2;Wierzchlas;11895;118;6662;56;1072;1350;gw;51.101454,18.631932 51.231206,18.833873;51.16633,18.7329025
Burmistrz Gminy i Miasta Szadek;101902;3;0;41.33;1;1;0;0;0;1;101902;3;Szadek;15164;152;7374;49;659;1221;gmw;51.652446,18.801564 51.773401,19.107897;51.7129235,18.9547305
Prezydent Miasta Zduńska Wola;101901;7;1;46.29;0;1;1;0;0;5;101901;1;Zduńska Wola;2457;25;42374;1725;2198;118;gm;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825
Wójt Gminy Zapolice;101903;3;0;47.00;1;1;0;0;0;1;101903;2;Zapolice;8141;81;5147;63;1685;1694;gw;51.467342,18.816714 51.582536,19.013987;51.524939,18.9153505
Wójt Gminy Czastary;101802;2;0;45.50;0;1;0;0;0;1;101802;2;Czastary;6273;63;3949;63;1928;1994;gw;51.205520,18.233269 51.297876,18.380848;51.251698,18.3070585
Wójt Gminy Bolesławiec;101801;3;2;50.00;0;1;0;0;0;2;101801;2;Bolesławiec;6447;64;4083;63;1909;1958;gw;51.154531,18.162029 51.268287,18.293410;51.211409,18.2277195
Wójt Gminy Sokolniki;101806;2;1;46.50;0;1;0;0;0;1;101806;2;Sokolniki;8001;80;4999;62;1703;1730;gw;51.266350,18.228732 51.369470,18.452134;51.31791,18.340433
Wójt Gminy Lututów;101804;6;1;54.17;0;1;0;0;0;5;101804;2;Lututów;7612;76;4600;60;1757;1834;gw;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042
Wójt Gminy Galewice;101803;3;0;53.00;1;1;0;0;0;1;101803;2;Galewice;13577;136;6199;46;831;1445;gw;51.313702,18.171313 51.454342,18.387583;51.384022,18.279448
Wójt Gminy Łubnice;101805;2;0;53.50;0;1;0;0;0;1;101805;2;Łubnice;6083;61;4121;68;1942;1948;gw;51.133954,18.202966 51.214643,18.361714;51.1742985,18.28234
Wójt Gminy Burzenin;101405;1;0;45.00;0;0;0;0;0;1;101405;2;Burzenin;12035;120;5521;46;1050;1600;gw;51.357354,18.675346 51.516392,18.878527;51.436873,18.7769365
Wójt Gminy Klonowa;101407;2;0;42.00;1;1;0;0;0;0;101407;2;Klonowa;9498;95;2891;30;1470;2201;gw;51.388497,18.326310 51.476857,18.542278;51.432677,18.434294
Wójt Gminy Sieradz;101408;4;1;55.00;0;0;0;0;0;4;101408;2;Sieradz;18160;182;10558;58;439;817;gw;51.495571,18.637610 51.673766,18.879848;51.5846685,18.758729
Burmistrz Gminy i Miasta Warta;101409;2;0;52.00;0;0;0;0;0;2;101409;3;Warta;25434;254;12784;50;170;641;gmw;51.633397,18.493276 51.834808,18.841532;51.7341025,18.667404
Wójt Gminy Wróblew;101410;2;1;46.50;1;1;0;0;0;0;101410;2;Wróblew;11290;113;6113;54;1164;1464;gw;51.533932,18.500704 51.666269,18.677740;51.6001005,18.589222
Burmistrz Miasta Złoczew;101411;5;1;50.00;1;1;0;1;0;2;101411;3;Złoczew;11726;117;7189;61;1097;1252;gmw;51.351662,18.499978 51.478895,18.738829;51.4152785,18.6194035
Wójt Gminy Lipce Reymontowskie;101505;3;0;50.67;0;0;0;0;0;3;101505;2;Lipce Reymontowskie;4291;43;3298;77;2071;2140;gw;51.873331,19.868532 51.944490,20.005781;51.9089105,19.9371565
Wójt Gminy Bolimów;101501;2;0;51.00;0;0;0;0;0;2;101501;2;Bolimów;11171;112;4054;36;1189;1968;gw;52.016335,20.092778 52.151296,20.270584;52.0838155,20.181681
Wójt Gminy Godzianów;101503;2;0;46.00;0;0;0;0;0;2;101503;2;Godzianów;4406;44;2631;60;2065;2231;gw;51.850022,19.982373 51.942224,20.106386;51.896123,20.0443795
Wójt Gminy Głuchów;101502;3;0;41.33;1;1;0;0;0;1;101502;2;Głuchów;11073;111;5813;52;1209;1533;gw;51.738631,19.987138 51.863011,20.189206;51.800821,20.088172
Wójt Gminy Kowiesy;101504;2;1;35.50;0;0;0;0;0;2;101504;2;Kowiesy;8583;86;2908;34;1603;2198;gw;51.848276,20.318577 51.947933,20.518831;51.8981045,20.418704
Wójt Gminy Słupia;101509;2;1;43.00;1;1;0;0;0;0;101509;2;Słupia;4109;41;2651;65;2084;2227;gw;51.826764,19.875823 51.893485,20.045714;51.8601245,19.9607685
Wójt Gminy Nowy Kawęczyn;101507;2;0;56.00;0;0;0;0;0;2;101507;2;Nowy Kawęczyn;10422;104;3382;32;1318;2123;gw;51.834394,20.151162 51.939739,20.346008;51.8870665,20.248585
Wójt Gminy Maków;101506;3;0;51.33;0;1;0;0;0;2;101506;2;Maków;8153;81;5981;73;1681;1495;gw;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025
Wójt Gminy Skierniewice;101508;3;1;59.00;0;1;0;0;0;2;101508;2;Skierniewice;13130;131;7506;57;896;1197;gw;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772
Burmistrz Miasta Uniejów;101104;1;0;58.00;0;0;0;0;0;1;101104;3;Uniejów;12901;129;7062;55;928;1267;gmw;51.917835,18.714962 52.076454,18.885790;51.9971445,18.800376
Wójt Gminy Zadzim;101106;2;0;34.00;1;1;0;0;0;0;101106;2;Zadzim;14513;144;5012;35;730;1723;gw;51.720262,18.760792 51.852753,19.055969;51.7865075,18.9083805
Wójt Gminy Dalików;101101;2;0;46.50;1;0;0;0;0;1;101101;2;Dalików;11462;115;3901;34;1133;2007;gw;51.819137,19.019551 51.959065,19.191203;51.889101,19.105377
Wójt Gminy Góra Świętej Małgorzaty;100403;1;0;56.00;0;0;0;0;0;1;100403;2;Góra Świętej Małgorzaty;9026;90;4406;49;1532;1882;gw;52.017005,19.212277 52.113441,19.420127;52.065223,19.316202
Wójt Gminy Pęczniew;101102;2;0;35.00;0;1;0;0;0;1;101102;2;Pęczniew;12779;128;3482;27;947;2104;gw;51.734737,18.651433 51.898962,18.854022;51.8168495,18.7527275
Wójt Gminy Łęczyca;100405;2;1;45.50;0;1;0;0;0;1;100405;2;Łęczyca;15057;151;8538;57;674;1033;gw;52.000669,19.031213 52.134336,19.272403;52.0675025,19.151808
Wójt Gminy Gomunice;101204;2;0;43.00;0;0;0;0;0;2;101204;2;Gomunice;6245;62;5902;95;1931;1511;gw;51.104288,19.423834 51.200439,19.594530;51.1523635,19.509182
Wójt Gminy Witonia;100408;2;0;56.00;0;1;0;0;0;1;100408;2;Witonia;6045;60;3299;55;1945;2139;gw;52.089698,19.208410 52.190940,19.358040;52.140319,19.283225
Wójt Gminy Świnice Warckie;100407;3;3;37.67;1;1;0;0;0;1;100407;2;Świnice Warckie;9347;93;3950;42;1497;1993;gw;52.001435,18.828302 52.087528,19.046781;52.0444815,18.9375415
Prezydent Miasta Radomsko;101201;5;1;45.80;0;0;1;0;0;4;101201;1;Radomsko;5143;51;46409;902;2006;106;gm;51.032226,19.364047 51.110162,19.521521;51.071194,19.442784
Wójt Gminy Nieborów;100509;2;0;49.00;0;1;0;0;0;1;100509;2;Nieborów;10390;104;9390;90;1322;922;gw;52.003803,19.977580 52.152632,20.128707;52.0782175,20.0531435
Wójt Gminy Gidle;101203;3;1;49.33;0;1;0;0;0;2;101203;2;Gidle;11598;116;6151;53;1118;1455;gw;50.878931,19.378758 51.014024,19.584773;50.9464775,19.4817655
Burmistrz Miasta Łowicza;100501;5;0;46.00;0;1;0;0;0;4;100501;1;Łowicz;2342;23;28704;1226;2206;197;gm;52.064871,19.901059 52.137384,19.988349;52.1011275,19.944704
Wójt Gminy Masłowice;101210;3;1;55.33;1;1;0;0;0;1;101210;2;Masłowice;11597;116;4183;36;1119;1936;gw;51.046526,19.655933 51.189532,19.880077;51.118029,19.768005
Wójt Gminy Kiernozia;100505;2;1;42.00;1;0;0;0;0;1;100505;2;Kiernozia;7623;76;3420;45;1756;2113;gw;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596
Wójt Gminy Kobiele Wielkie;101206;2;0;64.00;1;0;0;0;0;1;101206;2;Kobiele Wielkie;10172;102;4449;44;1361;1871;gw;50.974419,19.492389 51.081940,19.723648;51.0281795,19.6080185
Wójt Gminy Chąśno;100503;1;0;41.00;1;0;0;0;0;0;100503;2;Chąśno;7183;72;2924;41;1823;2197;gw;52.136455,19.835697 52.235321,19.986956;52.185888,19.9113265
Burmistrz Kamieńska;101205;3;1;48.00;0;1;0;0;0;2;101205;3;Kamieńsk;9644;96;5977;62;1444;1498;gmw;51.167264,19.384317 51.286072,19.557056;51.226668,19.4706865
Wójt Gminy Bielawy;100502;2;0;56.50;1;1;0;0;0;0;100502;2;Bielawy;16390;164;5454;33;560;1615;gw;52.019216,19.512742 52.144939,19.769984;52.0820775,19.641363
Wójt Gminy Lgota Wielka;101208;2;1;50.50;0;0;0;0;0;2;101208;2;Lgota Wielka;6307;63;4308;68;1923;1906;gw;51.094172,19.233461 51.190821,19.412657;51.1424965,19.323059
Wójt Gminy Domaniewice;100504;2;0;46.50;1;1;0;0;0;0;100504;2;Domaniewice;8617;86;4659;54;1593;1816;gw;51.974455,19.719545 52.085322,19.889867;52.0298885,19.804706
Prezydent Miasta Piotrkowa Trybunalskiego;106201;5;1;49.20;0;1;1;0;0;3;106201;1;Piotrków Trybunalski;6724;67;74312;1105;1881;50;mm;51.372969,19.622889 51.452936,19.810361;51.4129525,19.716625
Wójt Gminy Kodrąb;101207;2;1;47.50;0;0;0;0;0;2;101207;2;Kodrąb;10583;106;4575;43;1292;1836;gw;51.043364,19.514760 51.157820,19.713239;51.100592,19.6139995
Prezydent Miasta Skierniewice;106301;3;0;51.67;0;1;1;0;0;1;106301;1;Skierniewice;3460;35;48308;1396;2134;97;mm;51.922474,20.104903 51.993672,20.233333;51.958073,20.169118
